SAMPLES	M1M2M3_TP	M1M2M3_FP	M1M2_TP	M1M2_FP	M1M3_TP	M1M3_FP	M1_TP	M1_FP	TP_rem_per	FP_rem_per
M1-3.M2-8.M3-8	26	25	0	2	1	0	110	5	0.0	7.40740740741
M1-3.M2-8.M3-9	26	26	0	1	1	0	110	5	0.0	3.7037037037
M1-3.M2-8.M3-18	24	25	2	2	1	4	110	1	7.69230769231	7.40740740741
M1-3.M2-8.M3-15	24	25	2	2	1	3	110	2	7.69230769231	7.40740740741
M1-3.M2-8.M3-11	26	20	0	7	1	1	110	4	0.0	25.9259259259
M1-3.M2-8.M3-7	26	22	0	5	1	0	110	5	0.0	18.5185185185
M1-3.M2-8.M3-17	25	23	1	4	1	2	110	3	3.84615384615	14.8148148148
M1-3.M2-8.M3-4	20	26	6	1	0	1	111	4	23.0769230769	3.7037037037
M1-3.M2-8.M3-16	25	23	1	4	1	2	110	3	3.84615384615	14.8148148148
M1-3.M2-8.M3-10	26	23	0	4	1	2	110	3	0.0	14.8148148148
M1-3.M2-8.M3-1	23	25	3	2	0	1	111	4	11.5384615385	7.40740740741
M1-3.M2-8.M3-5	24	26	2	1	1	0	110	5	7.69230769231	3.7037037037
M1-3.M2-8.M3-14	25	25	1	2	1	3	110	2	3.84615384615	7.40740740741
M1-3.M2-8.M3-12	26	23	0	4	0	1	111	4	0.0	14.8148148148
M1-3.M2-8.M3-13	25	23	1	4	1	2	110	3	3.84615384615	14.8148148148
M1-3.M2-8.M3-6	23	26	3	1	0	0	111	5	11.5384615385	3.7037037037
M1-3.M2-8.M3-2	22	25	4	2	1	2	110	3	15.3846153846	7.40740740741
M1-3.M2-8.M3-3	18	24	8	3	0	0	111	5	30.7692307692	11.1111111111
M1-3.M2-7.M3-8	27	25	0	0	0	0	110	7	0.0	0.0
M1-3.M2-7.M3-9	27	25	0	0	0	1	110	6	0.0	0.0
M1-3.M2-7.M3-18	25	24	2	1	0	5	110	2	7.40740740741	4.0
M1-3.M2-7.M3-15	25	24	2	1	0	4	110	3	7.40740740741	4.0
M1-3.M2-7.M3-11	27	20	0	5	0	1	110	6	0.0	20.0
M1-3.M2-7.M3-7	27	21	0	4	0	1	110	6	0.0	16.0
M1-3.M2-7.M3-17	26	22	1	3	0	3	110	4	3.7037037037	12.0
M1-3.M2-7.M3-4	20	25	7	0	0	2	110	5	25.9259259259	0.0
M1-3.M2-7.M3-16	26	23	1	2	0	2	110	5	3.7037037037	8.0
M1-3.M2-7.M3-10	27	22	0	3	0	3	110	4	0.0	12.0
M1-3.M2-7.M3-1	23	24	4	1	0	2	110	5	14.8148148148	4.0
M1-3.M2-7.M3-5	25	25	2	0	0	1	110	6	7.40740740741	0.0
M1-3.M2-7.M3-14	26	24	1	1	0	4	110	3	3.7037037037	4.0
M1-3.M2-7.M3-12	26	23	1	2	0	1	110	6	3.7037037037	8.0
M1-3.M2-7.M3-13	26	23	1	2	0	2	110	5	3.7037037037	8.0
M1-3.M2-7.M3-6	23	25	4	0	0	1	110	6	14.8148148148	0.0
M1-3.M2-7.M3-2	23	24	4	1	0	3	110	4	14.8148148148	4.0
M1-3.M2-7.M3-3	18	24	9	1	0	0	110	7	33.3333333333	4.0
M1-3.M2-1.M3-8	20	25	0	0	7	0	110	7	0.0	0.0
M1-3.M2-1.M3-9	20	25	0	0	7	1	110	6	0.0	0.0
M1-3.M2-1.M3-18	18	24	2	1	7	5	110	2	10.0	4.0
M1-3.M2-1.M3-15	18	24	2	1	7	4	110	3	10.0	4.0
M1-3.M2-1.M3-11	20	20	0	5	7	1	110	6	0.0	20.0
M1-3.M2-1.M3-7	20	21	0	4	7	1	110	6	0.0	16.0
M1-3.M2-1.M3-17	19	22	1	3	7	3	110	4	5.0	12.0
M1-3.M2-1.M3-4	18	25	2	0	2	2	115	5	10.0	0.0
M1-3.M2-1.M3-16	19	23	1	2	7	2	110	5	5.0	8.0
M1-3.M2-1.M3-10	20	22	0	3	7	3	110	4	0.0	12.0
M1-3.M2-1.M3-1	19	24	1	1	4	2	113	5	5.0	4.0
M1-3.M2-1.M3-5	19	25	1	0	6	1	111	6	5.0	0.0
M1-3.M2-1.M3-14	19	24	1	1	7	4	110	3	5.0	4.0
M1-3.M2-1.M3-12	20	23	0	2	6	1	111	6	0.0	8.0
M1-3.M2-1.M3-13	19	23	1	2	7	2	110	5	5.0	8.0
M1-3.M2-1.M3-6	17	25	3	0	6	1	111	6	15.0	0.0
M1-3.M2-1.M3-2	18	24	2	1	5	3	112	4	10.0	4.0
M1-3.M2-1.M3-3	15	24	5	1	3	0	114	7	25.0	4.0
M1-3.M2-11.M3-8	26	25	0	2	1	0	110	5	0.0	7.40740740741
M1-3.M2-11.M3-9	26	25	0	2	1	1	110	4	0.0	7.40740740741
M1-3.M2-11.M3-18	25	26	1	1	0	3	111	2	3.84615384615	3.7037037037
M1-3.M2-11.M3-15	25	26	1	1	0	2	111	3	3.84615384615	3.7037037037
M1-3.M2-11.M3-11	26	21	0	6	1	0	110	5	0.0	22.2222222222
M1-3.M2-11.M3-7	26	21	0	6	1	1	110	4	0.0	22.2222222222
M1-3.M2-11.M3-17	26	24	0	3	0	1	111	4	0.0	11.1111111111
M1-3.M2-11.M3-4	19	25	7	2	1	2	110	3	26.9230769231	7.40740740741
M1-3.M2-11.M3-16	25	25	1	2	1	0	110	5	3.84615384615	7.40740740741
M1-3.M2-11.M3-10	26	24	0	3	1	1	110	4	0.0	11.1111111111
M1-3.M2-11.M3-1	22	24	4	3	1	2	110	3	15.3846153846	11.1111111111
M1-3.M2-11.M3-5	24	25	2	2	1	1	110	4	7.69230769231	7.40740740741
M1-3.M2-11.M3-14	26	26	0	1	0	2	111	3	0.0	3.7037037037
M1-3.M2-11.M3-12	25	24	1	3	1	0	110	5	3.84615384615	11.1111111111
M1-3.M2-11.M3-13	26	25	0	2	0	0	111	5	0.0	7.40740740741
M1-3.M2-11.M3-6	22	25	4	2	1	1	110	4	15.3846153846	7.40740740741
M1-3.M2-11.M3-2	22	25	4	2	1	2	110	3	15.3846153846	7.40740740741
M1-3.M2-11.M3-3	17	24	9	3	1	0	110	5	34.6153846154	11.1111111111
M1-3.M2-12.M3-8	25	25	0	2	2	0	110	5	0.0	7.40740740741
M1-3.M2-12.M3-9	25	25	0	2	2	1	110	4	0.0	7.40740740741
M1-3.M2-12.M3-18	24	26	1	1	1	3	111	2	4.0	3.7037037037
M1-3.M2-12.M3-15	24	26	1	1	1	2	111	3	4.0	3.7037037037
M1-3.M2-12.M3-11	25	21	0	6	2	0	110	5	0.0	22.2222222222
M1-3.M2-12.M3-7	25	21	0	6	2	1	110	4	0.0	22.2222222222
M1-3.M2-12.M3-17	25	24	0	3	1	1	111	4	0.0	11.1111111111
M1-3.M2-12.M3-4	18	25	7	2	2	2	110	3	28.0	7.40740740741
M1-3.M2-12.M3-16	24	25	1	2	2	0	110	5	4.0	7.40740740741
M1-3.M2-12.M3-10	25	24	0	3	2	1	110	4	0.0	11.1111111111
M1-3.M2-12.M3-1	22	24	3	3	1	2	111	3	12.0	11.1111111111
M1-3.M2-12.M3-5	23	25	2	2	2	1	110	4	8.0	7.40740740741
M1-3.M2-12.M3-14	25	26	0	1	1	2	111	3	0.0	3.7037037037
M1-3.M2-12.M3-12	24	24	1	3	2	0	110	5	4.0	11.1111111111
M1-3.M2-12.M3-13	25	25	0	2	1	0	111	5	0.0	7.40740740741
M1-3.M2-12.M3-6	21	25	4	2	2	1	110	4	16.0	7.40740740741
M1-3.M2-12.M3-2	21	25	4	2	2	2	110	3	16.0	7.40740740741
M1-3.M2-12.M3-3	17	24	8	3	1	0	111	5	32.0	11.1111111111
M1-3.M2-2.M3-8	21	25	0	2	6	0	110	5	0.0	7.40740740741
M1-3.M2-2.M3-9	21	26	0	1	6	0	110	5	0.0	3.7037037037
M1-3.M2-2.M3-18	20	25	1	2	5	4	111	1	4.7619047619	7.40740740741
M1-3.M2-2.M3-15	20	25	1	2	5	3	111	2	4.7619047619	7.40740740741
M1-3.M2-2.M3-11	21	21	0	6	6	0	110	5	0.0	22.2222222222
M1-3.M2-2.M3-7	21	22	0	5	6	0	110	5	0.0	18.5185185185
M1-3.M2-2.M3-17	20	24	1	3	6	1	110	4	4.7619047619	11.1111111111
M1-3.M2-2.M3-4	16	26	5	1	4	1	112	4	23.8095238095	3.7037037037
M1-3.M2-2.M3-16	21	24	0	3	5	1	111	4	0.0	11.1111111111
M1-3.M2-2.M3-10	21	23	0	4	6	2	110	3	0.0	14.8148148148
M1-3.M2-2.M3-1	17	25	4	2	6	1	110	4	19.0476190476	7.40740740741
M1-3.M2-2.M3-5	20	26	1	1	5	0	111	5	4.7619047619	3.7037037037
M1-3.M2-2.M3-14	20	26	1	1	6	2	110	3	4.7619047619	3.7037037037
M1-3.M2-2.M3-12	20	23	1	4	6	1	110	4	4.7619047619	14.8148148148
M1-3.M2-2.M3-13	20	24	1	3	6	1	110	4	4.7619047619	11.1111111111
M1-3.M2-2.M3-6	19	26	2	1	4	0	112	5	9.52380952381	3.7037037037
M1-3.M2-2.M3-2	18	24	3	3	5	3	111	2	14.2857142857	11.1111111111
M1-3.M2-2.M3-3	14	24	7	3	4	0	112	5	33.3333333333	11.1111111111
M1-3.M2-5.M3-8	27	25	0	0	0	0	110	7	0.0	0.0
M1-3.M2-5.M3-9	27	25	0	0	0	1	110	6	0.0	0.0
M1-3.M2-5.M3-18	25	24	2	1	0	5	110	2	7.40740740741	4.0
M1-3.M2-5.M3-15	25	24	2	1	0	4	110	3	7.40740740741	4.0
M1-3.M2-5.M3-11	27	20	0	5	0	1	110	6	0.0	20.0
M1-3.M2-5.M3-7	27	21	0	4	0	1	110	6	0.0	16.0
M1-3.M2-5.M3-17	26	22	1	3	0	3	110	4	3.7037037037	12.0
M1-3.M2-5.M3-4	20	25	7	0	0	2	110	5	25.9259259259	0.0
M1-3.M2-5.M3-16	26	23	1	2	0	2	110	5	3.7037037037	8.0
M1-3.M2-5.M3-10	27	22	0	3	0	3	110	4	0.0	12.0
M1-3.M2-5.M3-1	23	24	4	1	0	2	110	5	14.8148148148	4.0
M1-3.M2-5.M3-5	25	25	2	0	0	1	110	6	7.40740740741	0.0
M1-3.M2-5.M3-14	26	24	1	1	0	4	110	3	3.7037037037	4.0
M1-3.M2-5.M3-12	26	23	1	2	0	1	110	6	3.7037037037	8.0
M1-3.M2-5.M3-13	26	23	1	2	0	2	110	5	3.7037037037	8.0
M1-3.M2-5.M3-6	23	25	4	0	0	1	110	6	14.8148148148	0.0
M1-3.M2-5.M3-2	23	24	4	1	0	3	110	4	14.8148148148	4.0
M1-3.M2-5.M3-3	18	24	9	1	0	0	110	7	33.3333333333	4.0
M1-3.M2-9.M3-8	26	25	0	2	1	0	110	5	0.0	7.40740740741
M1-3.M2-9.M3-9	26	25	0	2	1	1	110	4	0.0	7.40740740741
M1-3.M2-9.M3-18	24	26	2	1	1	3	110	2	7.69230769231	3.7037037037
M1-3.M2-9.M3-15	24	26	2	1	1	2	110	3	7.69230769231	3.7037037037
M1-3.M2-9.M3-11	26	21	0	6	1	0	110	5	0.0	22.2222222222
M1-3.M2-9.M3-7	26	21	0	6	1	1	110	4	0.0	22.2222222222
M1-3.M2-9.M3-17	25	24	1	3	1	1	110	4	3.84615384615	11.1111111111
M1-3.M2-9.M3-4	19	25	7	2	1	2	110	3	26.9230769231	7.40740740741
M1-3.M2-9.M3-16	25	25	1	2	1	0	110	5	3.84615384615	7.40740740741
M1-3.M2-9.M3-10	26	24	0	3	1	1	110	4	0.0	11.1111111111
M1-3.M2-9.M3-1	22	24	4	3	1	2	110	3	15.3846153846	11.1111111111
M1-3.M2-9.M3-5	24	25	2	2	1	1	110	4	7.69230769231	7.40740740741
M1-3.M2-9.M3-14	25	26	1	1	1	2	110	3	3.84615384615	3.7037037037
M1-3.M2-9.M3-12	25	24	1	3	1	0	110	5	3.84615384615	11.1111111111
M1-3.M2-9.M3-13	25	25	1	2	1	0	110	5	3.84615384615	7.40740740741
M1-3.M2-9.M3-6	22	25	4	2	1	1	110	4	15.3846153846	7.40740740741
M1-3.M2-9.M3-2	22	25	4	2	1	2	110	3	15.3846153846	7.40740740741
M1-3.M2-9.M3-3	17	24	9	3	1	0	110	5	34.6153846154	11.1111111111
M1-3.M2-6.M3-8	27	24	0	0	0	1	110	7	0.0	0.0
M1-3.M2-6.M3-9	27	24	0	0	0	2	110	6	0.0	0.0
M1-3.M2-6.M3-18	25	23	2	1	0	6	110	2	7.40740740741	4.16666666667
M1-3.M2-6.M3-15	25	23	2	1	0	5	110	3	7.40740740741	4.16666666667
M1-3.M2-6.M3-11	27	19	0	5	0	2	110	6	0.0	20.8333333333
M1-3.M2-6.M3-7	27	21	0	3	0	1	110	7	0.0	12.5
M1-3.M2-6.M3-17	26	22	1	2	0	3	110	5	3.7037037037	8.33333333333
M1-3.M2-6.M3-4	20	24	7	0	0	3	110	5	25.9259259259	0.0
M1-3.M2-6.M3-16	26	23	1	1	0	2	110	6	3.7037037037	4.16666666667
M1-3.M2-6.M3-10	27	21	0	3	0	4	110	4	0.0	12.5
M1-3.M2-6.M3-1	23	23	4	1	0	3	110	5	14.8148148148	4.16666666667
M1-3.M2-6.M3-5	25	24	2	0	0	2	110	6	7.40740740741	0.0
M1-3.M2-6.M3-14	26	23	1	1	0	5	110	3	3.7037037037	4.16666666667
M1-3.M2-6.M3-12	26	23	1	1	0	1	110	7	3.7037037037	4.16666666667
M1-3.M2-6.M3-13	26	23	1	1	0	2	110	6	3.7037037037	4.16666666667
M1-3.M2-6.M3-6	23	24	4	0	0	2	110	6	14.8148148148	0.0
M1-3.M2-6.M3-2	23	23	4	1	0	4	110	4	14.8148148148	4.16666666667
M1-3.M2-6.M3-3	18	23	9	1	0	1	110	7	33.3333333333	4.16666666667
M1-3.M2-10.M3-8	26	25	0	3	1	0	110	4	0.0	10.7142857143
M1-3.M2-10.M3-9	26	25	0	3	1	1	110	3	0.0	10.7142857143
M1-3.M2-10.M3-18	25	26	1	2	0	3	111	1	3.84615384615	7.14285714286
M1-3.M2-10.M3-15	25	26	1	2	0	2	111	2	3.84615384615	7.14285714286
M1-3.M2-10.M3-11	26	21	0	7	1	0	110	4	0.0	25.0
M1-3.M2-10.M3-7	26	21	0	7	1	1	110	3	0.0	25.0
M1-3.M2-10.M3-17	26	24	0	4	0	1	111	3	0.0	14.2857142857
M1-3.M2-10.M3-4	19	25	7	3	1	2	110	2	26.9230769231	10.7142857143
M1-3.M2-10.M3-16	25	25	1	3	1	0	110	4	3.84615384615	10.7142857143
M1-3.M2-10.M3-10	26	24	0	4	1	1	110	3	0.0	14.2857142857
M1-3.M2-10.M3-1	22	25	4	3	1	1	110	3	15.3846153846	10.7142857143
M1-3.M2-10.M3-5	24	25	2	3	1	1	110	3	7.69230769231	10.7142857143
M1-3.M2-10.M3-14	26	27	0	1	0	1	111	3	0.0	3.57142857143
M1-3.M2-10.M3-12	25	24	1	4	1	0	110	4	3.84615384615	14.2857142857
M1-3.M2-10.M3-13	26	25	0	3	0	0	111	4	0.0	10.7142857143
M1-3.M2-10.M3-6	22	25	4	3	1	1	110	3	15.3846153846	10.7142857143
M1-3.M2-10.M3-2	22	25	4	3	1	2	110	2	15.3846153846	10.7142857143
M1-3.M2-10.M3-3	17	24	9	4	1	0	110	4	34.6153846154	14.2857142857
M1-3.M2-4.M3-8	22	24	0	1	5	1	110	6	0.0	4.0
M1-3.M2-4.M3-9	22	24	0	1	5	2	110	5	0.0	4.0
M1-3.M2-4.M3-18	20	24	2	1	5	5	110	2	9.09090909091	4.0
M1-3.M2-4.M3-15	20	24	2	1	5	4	110	3	9.09090909091	4.0
M1-3.M2-4.M3-11	22	19	0	6	5	2	110	5	0.0	24.0
M1-3.M2-4.M3-7	22	21	0	4	5	1	110	6	0.0	16.0
M1-3.M2-4.M3-17	21	22	1	3	5	3	110	4	4.54545454545	12.0
M1-3.M2-4.M3-4	17	24	5	1	3	3	112	4	22.7272727273	4.0
M1-3.M2-4.M3-16	21	23	1	2	5	2	110	5	4.54545454545	8.0
M1-3.M2-4.M3-10	22	22	0	3	5	3	110	4	0.0	12.0
M1-3.M2-4.M3-1	19	23	3	2	4	3	111	4	13.6363636364	8.0
M1-3.M2-4.M3-5	20	24	2	1	5	2	110	5	9.09090909091	4.0
M1-3.M2-4.M3-14	21	23	1	2	5	5	110	2	4.54545454545	8.0
M1-3.M2-4.M3-12	21	23	1	2	5	1	110	6	4.54545454545	8.0
M1-3.M2-4.M3-13	21	23	1	2	5	2	110	5	4.54545454545	8.0
M1-3.M2-4.M3-6	18	24	4	1	5	2	110	5	18.1818181818	4.0
M1-3.M2-4.M3-2	20	24	2	1	3	3	112	4	9.09090909091	4.0
M1-3.M2-4.M3-3	15	23	7	2	3	1	112	6	31.8181818182	8.0
M1-3.M2-3.M3-8	16	25	0	0	11	0	110	7	0.0	0.0
M1-3.M2-3.M3-9	16	25	0	0	11	1	110	6	0.0	0.0
M1-3.M2-3.M3-18	14	24	2	1	11	5	110	2	12.5	4.0
M1-3.M2-3.M3-15	14	24	2	1	11	4	110	3	12.5	4.0
M1-3.M2-3.M3-11	16	20	0	5	11	1	110	6	0.0	20.0
M1-3.M2-3.M3-7	16	21	0	4	11	1	110	6	0.0	16.0
M1-3.M2-3.M3-17	15	22	1	3	11	3	110	4	6.25	12.0
M1-3.M2-3.M3-4	15	25	1	0	5	2	116	5	6.25	0.0
M1-3.M2-3.M3-16	15	23	1	2	11	2	110	5	6.25	8.0
M1-3.M2-3.M3-10	16	22	0	3	11	3	110	4	0.0	12.0
M1-3.M2-3.M3-1	16	24	0	1	7	2	114	5	0.0	4.0
M1-3.M2-3.M3-5	16	25	0	0	9	1	112	6	0.0	0.0
M1-3.M2-3.M3-14	15	24	1	1	11	4	110	3	6.25	4.0
M1-3.M2-3.M3-12	16	23	0	2	10	1	111	6	0.0	8.0
M1-3.M2-3.M3-13	15	23	1	2	11	2	110	5	6.25	8.0
M1-3.M2-3.M3-6	14	25	2	0	9	1	112	6	12.5	0.0
M1-3.M2-3.M3-2	14	24	2	1	9	3	112	4	12.5	4.0
M1-3.M2-3.M3-3	13	24	3	1	5	0	116	7	18.75	4.0
M1-4.M2-8.M3-8	35	28	0	4	2	0	11	8	0.0	12.5
M1-4.M2-8.M3-9	35	31	0	1	1	1	12	7	0.0	3.125
M1-4.M2-8.M3-18	33	25	2	7	2	0	11	8	5.71428571429	21.875
M1-4.M2-8.M3-15	33	25	2	7	2	0	11	8	5.71428571429	21.875
